Sample 68:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 69:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 70:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 71:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 72:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.196ms
Sample 73:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 74:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 75:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 76:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.152ms
Sample 77:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 78:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 79:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 80:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 81:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 82:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 83:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.193ms
Sample 84:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 85:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 86:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 87:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 88:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 89:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 90:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.185ms
Sample 91:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.157ms
Sample 92:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.171ms
Sample 93:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.153ms
Sample 94:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.17ms
Sample 95:       0       0       1       0       0       0       0       0       0       0       0       0 3.01658 3.01658 3.01658 3.01658 | 0 0 0 0 |OBJ=: 0 |CPT=: 0.154ms
